V 0.10
Date: 2,7,2019
countsec,Pascal,Kalman_Height,mpuPitch,mpuRoll,mpuYaw,OutputX,OutputY
26013,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
26149,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
26285,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
26424,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
26559,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
26695,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
26830,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
26966,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
27102,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27237,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
27372,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
27508,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
27643,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
27783,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
27918,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
28054,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
