V 0.10
Date: 2,7,2019
Height,Pascal,Kalman_Height,mpuPitch,mpuRoll,mpuYaw,OutputX,OutputY
22595,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
22730,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
22865,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
23005,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
23141,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
23276,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
23411,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
23546,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
23683,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
23818,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
23953,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
24089,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
24227,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
24364,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
24499,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
24634,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
24769,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
24905,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
25040,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25176,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25312,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25447,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25586,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25721,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25857,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25993,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
26128,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
26263,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
26398,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
26534,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
26670,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
26805,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
26944,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27079,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27215,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27351,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27486,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27621,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27757,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
27892,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
28027,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
28164,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
28302,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
28438,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
28573,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
28708,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
28845,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
28980,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
29115,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
29250,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
29386,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
29521,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
29661,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
29796,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
29931,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
30067,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
30202,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
30338,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
30473,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
30609,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
30744,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
30879,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
31019,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
31154,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
31290,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
31425,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
31560,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
31695,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
31832,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
31967,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
32102,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
32238,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
32376,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
32513,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
32648,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
32783,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
32919,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
33054,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
33189,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
33325,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
33461,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
33599,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
33735,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
33870,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
34006,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
34142,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
34277,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
34412,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
34547,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
34683,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
34819,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
34958,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
35093,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
35228,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
35364,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
35500,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
35635,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
35770,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
35906,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
36041,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
36176,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
36316,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
36451,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
36587,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
36722,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
36857,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
36994,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
37129,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
37264,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
37399,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
37535,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
37673,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
37810,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
37945,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
38080,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
38216,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
38351,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
38487,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
38622,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
38758,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
38893,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
39032,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
